2024-03-21 14:02:38.335 | INFO     | <module>:run | main.py:30
2024-03-21 14:02:38.427 | INFO     | <module>:run | main.py:30
2024-03-21 14:03:03.992 | INFO     | <module>:run | main.py:30
2024-03-21 14:03:04.055 | INFO     | <module>:run | main.py:30
2024-03-21 14:04:34.396 | INFO     | <module>:run | main.py:30
2024-03-21 14:04:34.459 | INFO     | <module>:run | main.py:30
2024-03-21 14:07:14.042 | INFO     | <module>:run | main.py:30
2024-03-21 14:07:14.114 | INFO     | <module>:run | main.py:30
2024-03-21 14:07:35.408 | INFO     | <module>:run | main.py:30
2024-03-21 14:07:35.451 | INFO     | <module>:run | main.py:30
2024-03-21 14:14:52.209 | INFO     | <module>:run | main.py:30
2024-03-21 14:14:52.327 | INFO     | <module>:run | main.py:30
2024-03-21 14:15:21.309 | INFO     | <module>:run | main.py:30
2024-03-21 14:15:21.365 | INFO     | <module>:run | main.py:30
2024-03-21 14:15:44.126 | INFO     | <module>:run | main.py:30
2024-03-21 14:15:44.171 | INFO     | <module>:run | main.py:30
2024-03-21 14:16:23.023 | INFO     | <module>:run | main.py:30
2024-03-21 14:16:23.073 | INFO     | <module>:run | main.py:30
2024-03-21 14:16:33.272 | INFO     | <module>:run | main.py:30
2024-03-21 14:16:33.326 | INFO     | <module>:run | main.py:30
2024-03-21 14:18:31.495 | INFO     | <module>:run | main.py:30
2024-03-21 14:18:31.546 | INFO     | <module>:run | main.py:30
2024-03-21 14:18:36.759 | INFO     | <module>:run | main.py:30
2024-03-21 14:18:36.798 | INFO     | <module>:run | main.py:30
2024-03-21 14:18:55.824 | INFO     | <module>:run | main.py:30
2024-03-21 14:18:55.863 | INFO     | <module>:run | main.py:30
2024-03-21 14:20:45.464 | INFO     | <module>:run | main.py:30
2024-03-21 14:20:45.516 | INFO     | <module>:run | main.py:30
2024-03-21 14:21:43.017 | INFO     | <module>:run | main.py:30
2024-03-21 14:21:43.075 | INFO     | <module>:run | main.py:30
2024-03-21 14:21:51.149 | INFO     | <module>:run | main.py:30
2024-03-21 14:21:51.206 | INFO     | <module>:run | main.py:30
2024-03-21 14:22:41.126 | INFO     | get_db:./Database/barriers.db | db.py:9
2024-03-21 14:22:59.431 | INFO     | get_db:./Database/barriers.db | db.py:9
2024-03-21 14:23:24.901 | INFO     | get_db:./Database/barriers.db | db.py:9
2024-03-21 14:24:03.559 | INFO     | <module>:run | main.py:30
2024-03-21 14:24:03.607 | INFO     | <module>:run | main.py:30
2024-03-21 14:24:23.466 | INFO     | get_db:./Database/barriers.db | db.py:9
2024-03-21 14:26:11.619 | INFO     | <module>:run | main.py:30
2024-03-21 14:26:11.669 | INFO     | <module>:run | main.py:30
2024-03-21 14:26:46.795 | INFO     | <module>:run | main.py:30
2024-03-21 14:26:46.870 | INFO     | <module>:run | main.py:30
2024-03-21 14:27:09.774 | INFO     | get_db:./Database/barriers.db | db.py:9
2024-03-21 14:27:56.261 | INFO     | <module>:run | main.py:30
2024-03-21 14:27:56.332 | INFO     | <module>:run | main.py:30
2024-03-21 14:28:28.296 | INFO     | <module>:run | main.py:30
2024-03-21 14:28:28.346 | INFO     | <module>:run | main.py:30
2024-03-21 14:29:09.076 | INFO     | <module>:run | main.py:30
2024-03-21 14:29:09.127 | INFO     | <module>:run | main.py:30
2024-03-21 14:29:29.360 | INFO     | <module>:run | main.py:30
2024-03-21 14:29:29.408 | INFO     | <module>:run | main.py:30
2024-03-21 14:29:33.244 | INFO     | <module>:run | main.py:30
2024-03-21 14:29:33.293 | INFO     | <module>:run | main.py:30
2024-03-21 14:30:13.553 | INFO     | get_db:./Database/barriers.db | db.py:7
2024-03-21 14:30:22.154 | INFO     | get_db:./Database/barriers.db | db.py:7
2024-03-21 14:30:49.505 | INFO     | <module>:run | main.py:30
2024-03-21 14:30:49.558 | INFO     | <module>:run | main.py:30
2024-03-21 14:30:51.265 | INFO     | get_db:./Database/barriers.db | db.py:7
2024-03-21 14:31:07.176 | INFO     | <module>:run | main.py:30
2024-03-21 14:31:07.218 | INFO     | <module>:run | main.py:30
2024-03-21 14:31:08.247 | INFO     | <module>:run | main.py:30
2024-03-21 14:31:08.289 | INFO     | <module>:run | main.py:30
2024-03-21 14:31:09.425 | INFO     | <module>:run | main.py:30
2024-03-21 14:31:09.480 | INFO     | <module>:run | main.py:30
2024-03-21 14:31:22.817 | INFO     | get_db:./Database/barriers.db | db.py:7
2024-03-21 14:32:09.157 | INFO     | <module>:run | main.py:30
2024-03-21 14:32:09.226 | INFO     | <module>:run | main.py:30
2024-03-21 14:32:18.225 | INFO     | <module>:run | main.py:30
2024-03-21 14:32:18.271 | INFO     | <module>:run | main.py:30
2024-03-21 14:32:25.582 | INFO     | <module>:run | main.py:30
2024-03-21 14:32:25.632 | INFO     | <module>:run | main.py:30
2024-03-21 14:32:41.134 | INFO     | <module>:run | main.py:30
2024-03-21 14:32:41.176 | INFO     | <module>:run | main.py:30
2024-03-21 14:32:59.024 | INFO     | <module>:run | main.py:30
